period,stateid,stateDescription,sectorid,sectorName,price,price-units
2006-05,MA,Massachusetts,ALL,all sectors,14.68,cents per kilowatthour
2006-06,MA,Massachusetts,COM,commercial,16.24,cents per kilowatthour
2006-06,MA,Massachusetts,IND,industrial,13.44,cents per kilowatthour
2006-06,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-06,MA,Massachusetts,RES,residential,16.22,cents per kilowatthour
2006-06,MA,Massachusetts,TRA,transportation,11.23,cents per kilowatthour
2006-06,MA,Massachusetts,ALL,all sectors,15.69,cents per kilowatthour
2006-07,MA,Massachusetts,COM,commercial,15.67,cents per kilowatthour
2006-07,MA,Massachusetts,IND,industrial,13.45,cents per kilowatthour
2006-07,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-07,MA,Massachusetts,RES,residential,16.05,cents per kilowatthour
2006-07,MA,Massachusetts,TRA,transportation,13.0,cents per kilowatthour
2006-07,MA,Massachusetts,ALL,all sectors,15.44,cents per kilowatthour
2006-08,MA,Massachusetts,TRA,transportation,13.7,cents per kilowatthour
2006-08,MA,Massachusetts,ALL,all sectors,16.27,cents per kilowatthour
2006-08,MA,Massachusetts,COM,commercial,16.53,cents per kilowatthour
2006-08,MA,Massachusetts,IND,industrial,13.84,cents per kilowatthour
2006-08,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-08,MA,Massachusetts,RES,residential,16.85,cents per kilowatthour
2006-09,MA,Massachusetts,COM,commercial,16.33,cents per kilowatthour
2006-09,MA,Massachusetts,IND,industrial,13.09,cents per kilowatthour
2006-09,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-09,MA,Massachusetts,RES,residential,16.59,cents per kilowatthour
2006-09,MA,Massachusetts,TRA,transportation,10.4,cents per kilowatthour
2006-09,MA,Massachusetts,ALL,all sectors,15.75,cents per kilowatthour
2006-10,MA,Massachusetts,COM,commercial,14.86,cents per kilowatthour
2006-10,MA,Massachusetts,IND,industrial,12.78,cents per kilowatthour
2006-10,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-10,MA,Massachusetts,RES,residential,16.18,cents per kilowatthour
2006-10,MA,Massachusetts,TRA,transportation,9.6,cents per kilowatthour
2006-10,MA,Massachusetts,ALL,all sectors,14.84,cents per kilowatthour
2006-11,MA,Massachusetts,COM,commercial,14.22,cents per kilowatthour
2006-11,MA,Massachusetts,IND,industrial,12.53,cents per kilowatthour
2006-11,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-11,MA,Massachusetts,RES,residential,15.74,cents per kilowatthour
2006-11,MA,Massachusetts,TRA,transportation,9.91,cents per kilowatthour
2006-11,MA,Massachusetts,ALL,all sectors,14.42,cents per kilowatthour
2006-12,MA,Massachusetts,COM,commercial,14.66,cents per kilowatthour
2006-12,MA,Massachusetts,IND,industrial,12.92,cents per kilowatthour
2006-12,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-12,MA,Massachusetts,RES,residential,16.63,cents per kilowatthour
2006-12,MA,Massachusetts,TRA,transportation,9.67,cents per kilowatthour
2006-12,MA,Massachusetts,ALL,all sectors,15.06,cents per kilowatthour
2007-01,MA,Massachusetts,COM,commercial,15.52,cents per kilowatthour
2007-01,MA,Massachusetts,IND,industrial,13.47,cents per kilowatthour
2007-01,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-01,MA,Massachusetts,RES,residential,17.87,cents per kilowatthour
2007-01,MA,Massachusetts,TRA,transportation,10.26,cents per kilowatthour
2007-01,MA,Massachusetts,ALL,all sectors,16.02,cents per kilowatthour
2007-02,MA,Massachusetts,COM,commercial,16.3,cents per kilowatthour
2007-02,MA,Massachusetts,IND,industrial,12.52,cents per kilowatthour
2007-02,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-02,MA,Massachusetts,RES,residential,16.82,cents per kilowatthour
2007-02,MA,Massachusetts,TRA,transportation,9.53,cents per kilowatthour
2007-02,MA,Massachusetts,ALL,all sectors,15.87,cents per kilowatthour
2007-03,MA,Massachusetts,COM,commercial,14.74,cents per kilowatthour
2007-03,MA,Massachusetts,IND,industrial,13.57,cents per kilowatthour
2007-03,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-03,MA,Massachusetts,RES,residential,16.95,cents per kilowatthour
2007-03,MA,Massachusetts,TRA,transportation,8.68,cents per kilowatthour
2007-03,MA,Massachusetts,ALL,all sectors,15.27,cents per kilowatthour
2007-04,MA,Massachusetts,COM,commercial,14.93,cents per kilowatthour
2007-04,MA,Massachusetts,IND,industrial,12.63,cents per kilowatthour
2007-04,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-04,MA,Massachusetts,RES,residential,16.62,cents per kilowatthour
2007-04,MA,Massachusetts,TRA,transportation,8.59,cents per kilowatthour
2007-04,MA,Massachusetts,ALL,all sectors,15.04,cents per kilowatthour
2007-05,MA,Massachusetts,COM,commercial,14.22,cents per kilowatthour
2007-05,MA,Massachusetts,IND,industrial,12.47,cents per kilowatthour
2007-05,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-05,MA,Massachusetts,RES,residential,15.66,cents per kilowatthour
2007-05,MA,Massachusetts,TRA,transportation,8.5,cents per kilowatthour
2007-05,MA,Massachusetts,ALL,all sectors,14.32,cents per kilowatthour
2007-06,MA,Massachusetts,COM,commercial,15.33,cents per kilowatthour
2007-06,MA,Massachusetts,IND,industrial,13.35,cents per kilowatthour
2007-06,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-06,MA,Massachusetts,RES,residential,16.68,cents per kilowatthour
2007-06,MA,Massachusetts,TRA,transportation,9.58,cents per kilowatthour
2007-06,MA,Massachusetts,ALL,all sectors,15.41,cents per kilowatthour
2007-07,MA,Massachusetts,COM,commercial,15.6,cents per kilowatthour
2007-07,MA,Massachusetts,IND,industrial,12.85,cents per kilowatthour
2007-07,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-07,MA,Massachusetts,RES,residential,15.58,cents per kilowatthour
2007-07,MA,Massachusetts,TRA,transportation,11.12,cents per kilowatthour
2007-07,MA,Massachusetts,ALL,all sectors,15.15,cents per kilowatthour
2007-08,MA,Massachusetts,COM,commercial,15.35,cents per kilowatthour
2007-08,MA,Massachusetts,IND,industrial,14.28,cents per kilowatthour
2007-08,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-08,MA,Massachusetts,RES,residential,15.78,cents per kilowatthour
2007-08,MA,Massachusetts,TRA,transportation,11.15,cents per kilowatthour
2007-08,MA,Massachusetts,ALL,all sectors,15.32,cents per kilowatthour
2007-09,MA,Massachusetts,ALL,all sectors,15.45,cents per kilowatthour
2007-09,MA,Massachusetts,COM,commercial,16.12,cents per kilowatthour
2007-09,MA,Massachusetts,IND,industrial,12.38,cents per kilowatthour
2007-09,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-09,MA,Massachusetts,RES,residential,16.15,cents per kilowatthour
2007-09,MA,Massachusetts,TRA,transportation,8.99,cents per kilowatthour
2007-10,MA,Massachusetts,COM,commercial,14.85,cents per kilowatthour
2007-10,MA,Massachusetts,IND,industrial,13.34,cents per kilowatthour
2007-10,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-10,MA,Massachusetts,RES,residential,15.91,cents per kilowatthour
2007-10,MA,Massachusetts,TRA,transportation,8.42,cents per kilowatthour
2007-10,MA,Massachusetts,ALL,all sectors,14.88,cents per kilowatthour
2007-11,MA,Massachusetts,RES,residential,15.57,cents per kilowatthour
2007-11,MA,Massachusetts,TRA,transportation,8.21,cents per kilowatthour
2007-11,MA,Massachusetts,ALL,all sectors,14.62,cents per kilowatthour
2007-11,MA,Massachusetts,COM,commercial,14.61,cents per kilowatthour
2007-11,MA,Massachusetts,IND,industrial,13.03,cents per kilowatthour
2007-11,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-12,MA,Massachusetts,COM,commercial,14.74,cents per kilowatthour
2007-12,MA,Massachusetts,IND,industrial,12.31,cents per kilowatthour
2007-12,MA,Massachusetts,OTH,other,,cents per kilowatthour
2007-12,MA,Massachusetts,RES,residential,15.24,cents per kilowatthour
2007-12,MA,Massachusetts,TRA,transportation,8.04,cents per kilowatthour
2007-12,MA,Massachusetts,ALL,all sectors,14.49,cents per kilowatthour
2008-01,MA,Massachusetts,COM,commercial,15.18,cents per kilowatthour
2008-01,MA,Massachusetts,IND,industrial,13.18,cents per kilowatthour
2008-01,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-01,MA,Massachusetts,RES,residential,16.81,cents per kilowatthour
2008-01,MA,Massachusetts,TRA,transportation,8.33,cents per kilowatthour
2008-01,MA,Massachusetts,ALL,all sectors,15.45,cents per kilowatthour
2008-02,MA,Massachusetts,COM,commercial,14.85,cents per kilowatthour
2008-02,MA,Massachusetts,IND,industrial,12.89,cents per kilowatthour
2008-02,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-02,MA,Massachusetts,RES,residential,16.49,cents per kilowatthour
2008-02,MA,Massachusetts,TRA,transportation,9.58,cents per kilowatthour
2008-02,MA,Massachusetts,ALL,all sectors,15.09,cents per kilowatthour
2008-03,MA,Massachusetts,COM,commercial,15.53,cents per kilowatthour
2008-03,MA,Massachusetts,IND,industrial,13.53,cents per kilowatthour
2008-03,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-03,MA,Massachusetts,RES,residential,16.79,cents per kilowatthour
2008-03,MA,Massachusetts,TRA,transportation,9.16,cents per kilowatthour
2008-03,MA,Massachusetts,ALL,all sectors,15.64,cents per kilowatthour
2008-04,MA,Massachusetts,TRA,transportation,10.11,cents per kilowatthour
2008-04,MA,Massachusetts,RES,residential,16.39,cents per kilowatthour
2008-04,MA,Massachusetts,COM,commercial,15.02,cents per kilowatthour
2008-04,MA,Massachusetts,IND,industrial,13.43,cents per kilowatthour
2008-04,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-04,MA,Massachusetts,ALL,all sectors,15.14,cents per kilowatthour
2008-05,MA,Massachusetts,ALL,all sectors,16.45,cents per kilowatthour
2008-05,MA,Massachusetts,COM,commercial,16.54,cents per kilowatthour
2008-05,MA,Massachusetts,RES,residential,17.75,cents per kilowatthour
2008-05,MA,Massachusetts,IND,industrial,14.34,cents per kilowatthour
2008-05,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-05,MA,Massachusetts,TRA,transportation,11.18,cents per kilowatthour
2008-06,MA,Massachusetts,ALL,all sectors,16.73,cents per kilowatthour
2008-06,MA,Massachusetts,COM,commercial,17.03,cents per kilowatthour
2008-06,MA,Massachusetts,IND,industrial,14.75,cents per kilowatthour
2008-06,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-06,MA,Massachusetts,RES,residential,17.33,cents per kilowatthour
2008-06,MA,Massachusetts,TRA,transportation,12.53,cents per kilowatthour
2008-07,MA,Massachusetts,COM,commercial,17.32,cents per kilowatthour
2008-07,MA,Massachusetts,IND,industrial,15.05,cents per kilowatthour
2008-07,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-07,MA,Massachusetts,RES,residential,17.62,cents per kilowatthour
2008-07,MA,Massachusetts,TRA,transportation,15.14,cents per kilowatthour
2008-07,MA,Massachusetts,ALL,all sectors,17.08,cents per kilowatthour
2008-08,MA,Massachusetts,COM,commercial,17.19,cents per kilowatthour
2008-08,MA,Massachusetts,IND,industrial,14.99,cents per kilowatthour
2008-08,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-08,MA,Massachusetts,RES,residential,18.08,cents per kilowatthour
2008-08,MA,Massachusetts,TRA,transportation,11.55,cents per kilowatthour
2008-08,MA,Massachusetts,ALL,all sectors,17.14,cents per kilowatthour
2008-09,MA,Massachusetts,TRA,transportation,9.67,cents per kilowatthour
2008-09,MA,Massachusetts,RES,residential,17.95,cents per kilowatthour
2008-09,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-09,MA,Massachusetts,IND,industrial,14.55,cents per kilowatthour
2008-09,MA,Massachusetts,COM,commercial,15.86,cents per kilowatthour
2008-09,MA,Massachusetts,ALL,all sectors,16.31,cents per kilowatthour
2008-10,MA,Massachusetts,COM,commercial,16.41,cents per kilowatthour
2008-10,MA,Massachusetts,IND,industrial,14.35,cents per kilowatthour
2008-10,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-10,MA,Massachusetts,RES,residential,19.7,cents per kilowatthour
2008-10,MA,Massachusetts,TRA,transportation,8.56,cents per kilowatthour
2008-10,MA,Massachusetts,ALL,all sectors,16.96,cents per kilowatthour
2008-11,MA,Massachusetts,IND,industrial,14.52,cents per kilowatthour
2008-11,MA,Massachusetts,RES,residential,17.87,cents per kilowatthour
2008-11,MA,Massachusetts,COM,commercial,15.51,cents per kilowatthour
2008-11,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-11,MA,Massachusetts,TRA,transportation,7.79,cents per kilowatthour
2008-11,MA,Massachusetts,ALL,all sectors,16.12,cents per kilowatthour
2008-12,MA,Massachusetts,OTH,other,,cents per kilowatthour
2008-12,MA,Massachusetts,RES,residential,18.37,cents per kilowatthour
2008-12,MA,Massachusetts,TRA,transportation,7.9,cents per kilowatthour
2008-12,MA,Massachusetts,ALL,all sectors,16.59,cents per kilowatthour
2008-12,MA,Massachusetts,COM,commercial,16.09,cents per kilowatthour
2008-12,MA,Massachusetts,IND,industrial,14.05,cents per kilowatthour
2009-01,MA,Massachusetts,COM,commercial,16.53,cents per kilowatthour
2009-01,MA,Massachusetts,IND,industrial,13.85,cents per kilowatthour
2009-01,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-01,MA,Massachusetts,RES,residential,18.19,cents per kilowatthour
2009-01,MA,Massachusetts,TRA,transportation,8.11,cents per kilowatthour
2009-01,MA,Massachusetts,ALL,all sectors,16.34,cents per kilowatthour
2009-02,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-02,MA,Massachusetts,RES,residential,18.0,cents per kilowatthour
2009-02,MA,Massachusetts,ALL,all sectors,16.12,cents per kilowatthour
2009-02,MA,Massachusetts,COM,commercial,15.85,cents per kilowatthour
2009-02,MA,Massachusetts,IND,industrial,14.12,cents per kilowatthour
2009-02,MA,Massachusetts,TRA,transportation,7.07,cents per kilowatthour
2009-03,MA,Massachusetts,RES,residential,17.32,cents per kilowatthour
2009-03,MA,Massachusetts,TRA,transportation,6.37,cents per kilowatthour
2009-03,MA,Massachusetts,ALL,all sectors,15.74,cents per kilowatthour
2009-03,MA,Massachusetts,COM,commercial,15.48,cents per kilowatthour
2009-03,MA,Massachusetts,IND,industrial,14.37,cents per kilowatthour
2009-03,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-04,MA,Massachusetts,COM,commercial,15.44,cents per kilowatthour
2009-04,MA,Massachusetts,IND,industrial,13.67,cents per kilowatthour
2009-04,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-04,MA,Massachusetts,RES,residential,17.53,cents per kilowatthour
2009-04,MA,Massachusetts,TRA,transportation,5.69,cents per kilowatthour
2009-04,MA,Massachusetts,ALL,all sectors,15.56,cents per kilowatthour
2009-05,MA,Massachusetts,IND,industrial,13.8,cents per kilowatthour
2009-05,MA,Massachusetts,RES,residential,17.69,cents per kilowatthour
2009-05,MA,Massachusetts,ALL,all sectors,15.42,cents per kilowatthour
2009-05,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-05,MA,Massachusetts,TRA,transportation,5.4,cents per kilowatthour
2009-05,MA,Massachusetts,COM,commercial,15.12,cents per kilowatthour
2009-06,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-06,MA,Massachusetts,TRA,transportation,5.55,cents per kilowatthour
2009-06,MA,Massachusetts,ALL,all sectors,15.86,cents per kilowatthour
2009-06,MA,Massachusetts,IND,industrial,14.41,cents per kilowatthour
2009-06,MA,Massachusetts,RES,residential,17.62,cents per kilowatthour
2009-06,MA,Massachusetts,COM,commercial,15.68,cents per kilowatthour
2009-07,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-07,MA,Massachusetts,RES,residential,16.48,cents per kilowatthour
2009-07,MA,Massachusetts,TRA,transportation,6.25,cents per kilowatthour
2009-07,MA,Massachusetts,ALL,all sectors,15.35,cents per kilowatthour
2009-07,MA,Massachusetts,COM,commercial,15.2,cents per kilowatthour
2009-07,MA,Massachusetts,IND,industrial,14.37,cents per kilowatthour
2009-08,MA,Massachusetts,IND,industrial,14.67,cents per kilowatthour
2009-08,MA,Massachusetts,RES,residential,15.92,cents per kilowatthour
2009-08,MA,Massachusetts,ALL,all sectors,15.29,cents per kilowatthour
2009-08,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-08,MA,Massachusetts,TRA,transportation,5.89,cents per kilowatthour
2009-08,MA,Massachusetts,COM,commercial,15.25,cents per kilowatthour
2009-09,MA,Massachusetts,COM,commercial,15.66,cents per kilowatthour
2009-09,MA,Massachusetts,IND,industrial,14.49,cents per kilowatthour
2009-09,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-09,MA,Massachusetts,RES,residential,17.28,cents per kilowatthour
2009-09,MA,Massachusetts,TRA,transportation,5.34,cents per kilowatthour
2009-09,MA,Massachusetts,ALL,all sectors,15.79,cents per kilowatthour
2009-10,MA,Massachusetts,COM,commercial,15.16,cents per kilowatthour
2009-10,MA,Massachusetts,RES,residential,16.11,cents per kilowatthour
2009-10,MA,Massachusetts,TRA,transportation,5.7,cents per kilowatthour
2009-10,MA,Massachusetts,IND,industrial,13.91,cents per kilowatthour
2009-10,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-10,MA,Massachusetts,ALL,all sectors,15.0,cents per kilowatthour
2009-11,MA,Massachusetts,COM,commercial,14.46,cents per kilowatthour
2009-11,MA,Massachusetts,IND,industrial,13.61,cents per kilowatthour
2009-11,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-11,MA,Massachusetts,RES,residential,15.85,cents per kilowatthour
2009-11,MA,Massachusetts,TRA,transportation,6.12,cents per kilowatthour
2009-11,MA,Massachusetts,ALL,all sectors,14.6,cents per kilowatthour
2009-12,MA,Massachusetts,COM,commercial,14.47,cents per kilowatthour
2009-12,MA,Massachusetts,IND,industrial,13.55,cents per kilowatthour
2009-12,MA,Massachusetts,OTH,other,,cents per kilowatthour
2009-12,MA,Massachusetts,RES,residential,14.67,cents per kilowatthour
2009-12,MA,Massachusetts,TRA,transportation,6.12,cents per kilowatthour
2009-12,MA,Massachusetts,ALL,all sectors,14.21,cents per kilowatthour
2010-01,MA,Massachusetts,COM,commercial,14.31,cents per kilowatthour
2010-01,MA,Massachusetts,IND,industrial,13.34,cents per kilowatthour
2010-01,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-01,MA,Massachusetts,RES,residential,15.05,cents per kilowatthour
2010-01,MA,Massachusetts,TRA,transportation,8.03,cents per kilowatthour
2010-01,MA,Massachusetts,ALL,all sectors,14.29,cents per kilowatthour
2010-02,MA,Massachusetts,COM,commercial,14.28,cents per kilowatthour
2010-02,MA,Massachusetts,IND,industrial,13.45,cents per kilowatthour
2010-02,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-02,MA,Massachusetts,RES,residential,14.41,cents per kilowatthour
2010-02,MA,Massachusetts,TRA,transportation,7.9,cents per kilowatthour
2010-02,MA,Massachusetts,ALL,all sectors,14.06,cents per kilowatthour
2010-03,MA,Massachusetts,COM,commercial,14.52,cents per kilowatthour
2010-03,MA,Massachusetts,IND,industrial,13.22,cents per kilowatthour
2010-03,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-03,MA,Massachusetts,RES,residential,15.12,cents per kilowatthour
2010-03,MA,Massachusetts,TRA,transportation,6.77,cents per kilowatthour
2010-03,MA,Massachusetts,ALL,all sectors,14.28,cents per kilowatthour
2010-04,MA,Massachusetts,COM,commercial,14.7,cents per kilowatthour
2010-04,MA,Massachusetts,IND,industrial,13.53,cents per kilowatthour
2010-04,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-04,MA,Massachusetts,RES,residential,15.2,cents per kilowatthour
2010-04,MA,Massachusetts,TRA,transportation,5.77,cents per kilowatthour
2010-04,MA,Massachusetts,ALL,all sectors,14.44,cents per kilowatthour
2010-05,MA,Massachusetts,COM,commercial,14.03,cents per kilowatthour
2010-05,MA,Massachusetts,IND,industrial,13.24,cents per kilowatthour
2010-05,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-05,MA,Massachusetts,RES,residential,14.48,cents per kilowatthour
2010-05,MA,Massachusetts,TRA,transportation,5.98,cents per kilowatthour
2010-05,MA,Massachusetts,ALL,all sectors,13.87,cents per kilowatthour
2010-06,MA,Massachusetts,COM,commercial,14.69,cents per kilowatthour
2010-06,MA,Massachusetts,IND,industrial,14.15,cents per kilowatthour
2010-06,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-06,MA,Massachusetts,RES,residential,14.08,cents per kilowatthour
2010-06,MA,Massachusetts,TRA,transportation,6.05,cents per kilowatthour
2010-06,MA,Massachusetts,ALL,all sectors,14.26,cents per kilowatthour
2010-07,MA,Massachusetts,COM,commercial,14.93,cents per kilowatthour
2010-07,MA,Massachusetts,IND,industrial,14.39,cents per kilowatthour
2010-07,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-07,MA,Massachusetts,RES,residential,14.22,cents per kilowatthour
2010-07,MA,Massachusetts,TRA,transportation,6.78,cents per kilowatthour
2010-07,MA,Massachusetts,ALL,all sectors,14.45,cents per kilowatthour
2010-08,MA,Massachusetts,COM,commercial,15.24,cents per kilowatthour
2010-08,MA,Massachusetts,IND,industrial,14.5,cents per kilowatthour
2010-08,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-08,MA,Massachusetts,RES,residential,14.88,cents per kilowatthour
2010-08,MA,Massachusetts,TRA,transportation,6.93,cents per kilowatthour
2010-08,MA,Massachusetts,ALL,all sectors,14.85,cents per kilowatthour
2010-09,MA,Massachusetts,COM,commercial,15.15,cents per kilowatthour
2010-09,MA,Massachusetts,IND,industrial,14.32,cents per kilowatthour
2010-09,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-09,MA,Massachusetts,RES,residential,14.64,cents per kilowatthour
2010-09,MA,Massachusetts,TRA,transportation,5.79,cents per kilowatthour
2010-09,MA,Massachusetts,ALL,all sectors,14.66,cents per kilowatthour
2010-10,MA,Massachusetts,COM,commercial,14.06,cents per kilowatthour
2010-10,MA,Massachusetts,IND,industrial,13.34,cents per kilowatthour
2010-10,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-10,MA,Massachusetts,RES,residential,14.55,cents per kilowatthour
2010-10,MA,Massachusetts,TRA,transportation,5.64,cents per kilowatthour
2010-10,MA,Massachusetts,ALL,all sectors,13.94,cents per kilowatthour
2010-11,MA,Massachusetts,COM,commercial,13.79,cents per kilowatthour
2010-11,MA,Massachusetts,IND,industrial,13.26,cents per kilowatthour
2010-11,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-11,MA,Massachusetts,RES,residential,14.17,cents per kilowatthour
2010-11,MA,Massachusetts,TRA,transportation,5.01,cents per kilowatthour
2010-11,MA,Massachusetts,ALL,all sectors,13.69,cents per kilowatthour
2010-12,MA,Massachusetts,COM,commercial,14.42,cents per kilowatthour
2010-12,MA,Massachusetts,IND,industrial,13.59,cents per kilowatthour
2010-12,MA,Massachusetts,OTH,other,,cents per kilowatthour
2010-12,MA,Massachusetts,RES,residential,14.42,cents per kilowatthour
2010-12,MA,Massachusetts,TRA,transportation,5.62,cents per kilowatthour
2010-12,MA,Massachusetts,ALL,all sectors,14.13,cents per kilowatthour
2011-01,MA,Massachusetts,COM,commercial,14.21,cents per kilowatthour
2011-01,MA,Massachusetts,IND,industrial,13.39,cents per kilowatthour
2011-01,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-01,MA,Massachusetts,RES,residential,14.48,cents per kilowatthour
2011-01,MA,Massachusetts,TRA,transportation,6.5,cents per kilowatthour
2011-01,MA,Massachusetts,ALL,all sectors,14.04,cents per kilowatthour
2011-02,MA,Massachusetts,COM,commercial,13.84,cents per kilowatthour
2011-02,MA,Massachusetts,IND,industrial,12.96,cents per kilowatthour
2011-02,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-02,MA,Massachusetts,RES,residential,14.36,cents per kilowatthour
2011-02,MA,Massachusetts,TRA,transportation,7.28,cents per kilowatthour
2011-02,MA,Massachusetts,ALL,all sectors,13.75,cents per kilowatthour
2011-03,MA,Massachusetts,COM,commercial,13.97,cents per kilowatthour
2011-03,MA,Massachusetts,IND,industrial,12.95,cents per kilowatthour
2011-03,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-03,MA,Massachusetts,RES,residential,14.55,cents per kilowatthour
2011-03,MA,Massachusetts,TRA,transportation,6.12,cents per kilowatthour
2011-03,MA,Massachusetts,ALL,all sectors,13.81,cents per kilowatthour
2011-04,MA,Massachusetts,COM,commercial,13.85,cents per kilowatthour
2011-04,MA,Massachusetts,IND,industrial,12.54,cents per kilowatthour
2011-04,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-04,MA,Massachusetts,RES,residential,14.09,cents per kilowatthour
2011-04,MA,Massachusetts,TRA,transportation,6.3,cents per kilowatthour
2011-04,MA,Massachusetts,ALL,all sectors,13.47,cents per kilowatthour
2011-05,MA,Massachusetts,COM,commercial,14.0,cents per kilowatthour
2011-05,MA,Massachusetts,IND,industrial,13.15,cents per kilowatthour
2011-05,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-05,MA,Massachusetts,RES,residential,15.0,cents per kilowatthour
2011-05,MA,Massachusetts,TRA,transportation,6.24,cents per kilowatthour
2011-05,MA,Massachusetts,ALL,all sectors,14.0,cents per kilowatthour
2011-06,MA,Massachusetts,COM,commercial,15.18,cents per kilowatthour
2011-06,MA,Massachusetts,IND,industrial,14.26,cents per kilowatthour
2011-06,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-06,MA,Massachusetts,RES,residential,15.12,cents per kilowatthour
2011-06,MA,Massachusetts,TRA,transportation,6.25,cents per kilowatthour
2011-06,MA,Massachusetts,ALL,all sectors,14.82,cents per kilowatthour
2011-07,MA,Massachusetts,COM,commercial,14.33,cents per kilowatthour
2011-07,MA,Massachusetts,IND,industrial,13.6,cents per kilowatthour
2011-07,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-07,MA,Massachusetts,RES,residential,14.13,cents per kilowatthour
2011-07,MA,Massachusetts,TRA,transportation,6.5,cents per kilowatthour
2011-07,MA,Massachusetts,ALL,all sectors,14.0,cents per kilowatthour
2011-08,MA,Massachusetts,COM,commercial,15.06,cents per kilowatthour
2011-08,MA,Massachusetts,IND,industrial,14.14,cents per kilowatthour
2011-08,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-08,MA,Massachusetts,RES,residential,15.09,cents per kilowatthour
2011-08,MA,Massachusetts,TRA,transportation,6.55,cents per kilowatthour
2011-08,MA,Massachusetts,ALL,all sectors,14.76,cents per kilowatthour
2011-09,MA,Massachusetts,COM,commercial,15.38,cents per kilowatthour
2011-09,MA,Massachusetts,IND,industrial,13.98,cents per kilowatthour
2011-09,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-09,MA,Massachusetts,RES,residential,15.58,cents per kilowatthour
2011-09,MA,Massachusetts,TRA,transportation,5.58,cents per kilowatthour
2011-09,MA,Massachusetts,ALL,all sectors,14.93,cents per kilowatthour
2011-10,MA,Massachusetts,COM,commercial,13.85,cents per kilowatthour
2011-10,MA,Massachusetts,IND,industrial,12.94,cents per kilowatthour
2011-10,MA,Massachusetts,OTH,other,,cents per kilowatthour
2011-10,MA,Massachusetts,RES,residential,13.98,cents per kilowatthour
2011-10,MA,Massachusetts,TRA,transportation,5.66,cents per kilowatthour
2011-10,MA,Massachusetts,ALL,all sectors,13.54,cents per kilowatthour
